pdb_code,dataset,label
DC-1bs1_1,DC,1
DC-1cqx_1,DC,0
DC-1d3h_1,DC,0
DC-1eej_1,DC,1
DC-1ejd_1,DC,0
DC-1f2d_1,DC,1
DC-1ffr_1,DC,0
DC-1fpo_1,DC,0
DC-1g6a_1,DC,0
DC-1gpi_1,DC,0
DC-1j96_1,DC,0
DC-1jq5_1,DC,1
DC-1jq5_2,DC,1
DC-1ju3_1,DC,1
DC-1kq3_1,DC,1
DC-1kq3_2,DC,1
DC-1lf2_1,DC,0
DC-1lqt_1,DC,0
DC-1lw4_1,DC,1
DC-1lxk_1,DC,0
DC-1lzl_1,DC,1
DC-1n45_1,DC,0
DC-1n4g_1,DC,0
DC-1n8p_1,DC,1
DC-1ndb_1,DC,0
DC-1o17_1,DC,1
DC-1o17_2,DC,1
DC-1p5f_1,DC,1
DC-1pkh_1,DC,1
DC-1pkh_2,DC,1
DC-1pp3_1,DC,0
DC-1qop_1,DC,1
DC-1r5y_1,DC,1
DC-1s2z_1,DC,1
DC-1s83_1,DC,0
DC-1sml_1,DC,1
DC-1sml_2,DC,1
DC-1so7_1,DC,0
DC-1t8g_1,DC,0
DC-1toa_1,DC,0
DC-1ueb_1,DC,0
DC-1uj6_1,DC,1
DC-1utj_1,DC,0
DC-1uz3_1,DC,1
DC-1v2x_1,DC,1
DC-1vk5_1,DC,1
DC-1vqq_1,DC,0
DC-1w9q_1,DC,0
DC-1wly_1,DC,0
DC-1woq_1,DC,0
DC-1x7v_1,DC,1
DC-1xgk_1,DC,0
DC-1ynq_1,DC,0
DC-1ze3_1,DC,1
DC-1ze3_2,DC,1
DC-1zlh_1,DC,1
DC-1zlq_1,DC,0
DC-2a5l_1,DC,1
DC-2ab0_1,DC,1
DC-2aq6_1,DC,1
DC-2bhs_1,DC,1
DC-2bz6_1,DC,1
DC-2c4w_1,DC,1
DC-2c4w_2,DC,1
DC-2car_1,DC,1
DC-2cft_1,DC,1
DC-2cki_1,DC,0
DC-2d0d_1,DC,1
DC-2dvn_1,DC,1
DC-2e1v_1,DC,0
DC-2e7j_1,DC,1
DC-2ecq_1,DC,1
DC-2eqa_1,DC,0
DC-2exb_1,DC,1
DC-2eyi_1,DC,0
DC-2f37_1,DC,0
DC-2fgz_1,DC,0
DC-2fwv_1,DC,1
DC-2g2u_1,DC,1
DC-2gas_1,DC,0
DC-2h44_1,DC,0
DC-2hlq_1,DC,0
DC-2i7d_1,DC,1
DC-2ipi_2,DC,0
DC-2j0p_1,DC,0
DC-2j46_1,DC,0
DC-2j46_2,DC,0
DC-2nzl_1,DC,1
DC-2ow9_1,DC,0
DC-2q7d_1,DC,0
DC-2qb5_1,DC,0
DC-2rkb_1,DC,1
DC-2v52_1,DC,1
DC-2vef_1,DC,1
DC-2vr4_1,DC,1
DC-2vvt_1,DC,1
DC-2w20_1,DC,0
DC-2w6a_1,DC,1
DC-2wbf_1,DC,0
DC-2wbm_1,DC,0
DC-2wbq_1,DC,0
DC-2wsa_1,DC,0
DC-2wtm_1,DC,1
DC-2wxd_1,DC,1
DC-2x26_1,DC,0
DC-2xov_1,DC,0
DC-2y27_1,DC,1
DC-2y39_1,DC,1
DC-2yvw_1,DC,0
DC-2yz1_1,DC,0
DC-2z1n_1,DC,1
DC-2z6o_1,DC,0
DC-2zyr_1,DC,0
DC-3a2q_1,DC,1
DC-3aap_1,DC,0
DC-3b37_1,DC,0
DC-3bzl_1,DC,1
DC-3c1d_1,DC,0
DC-3c8y_1,DC,0
DC-3cj1_1,DC,0
DC-3cm3_1,DC,1
DC-3cu9_1,DC,0
DC-3d36_1,DC,1
DC-3d36_3,DC,1
DC-3da8_1,DC,1
DC-3els_1,DC,0
DC-3epw_1,DC,1
DC-3f0o_1,DC,0
DC-3f6q_1,DC,1
DC-3fah_1,DC,1
DC-3fwk_1,DC,0
DC-3gkj_1,DC,0
DC-3go5_1,DC,0
DC-3gus_1,DC,1
DC-3gvo_1,DC,0
DC-3h0n_1,DC,1
DC-3h30_1,DC,0
DC-3h30_2,DC,0
DC-3h30_3,DC,0
DC-3h6d_1,DC,1
DC-3hzl_1,DC,0
DC-3irb_1,DC,0
DC-3ita_1,DC,0
DC-3itf_1,DC,1
DC-3iue_1,DC,1
DC-3jrz_1,DC,1
DC-3jyo_1,DC,1
DC-3kd2_1,DC,1
DC-3kh7_1,DC,0
DC-3kk8_1,DC,0
DC-3lvd_1,DC,0
DC-3lw6_1,DC,1
DC-3m66_1,DC,0
DC-3mg1_1,DC,0
DC-3mhj_1,DC,0
DC-3mhz_1,DC,0
DC-3n5c_1,DC,0
DC-3o1n_1,DC,1
DC-3ovp_1,DC,1
DC-3r0n_1,DC,1
DC-4u0j_1,DC,1
DC-4u0j_2,DC,1
MANY-19gs_1,MANY,1
MANY-1a03_1,MANY,1
MANY-1a0f_1,MANY,1
MANY-1a2z_1,MANY,1
MANY-1a2z_3,MANY,1
MANY-1a33_1,MANY,0
MANY-1a49_8,MANY,1
MANY-1a4e_6,MANY,1
MANY-1a4i_1,MANY,1
MANY-1a5z_1,MANY,1
MANY-1a68_1,MANY,1
MANY-1a76_1,MANY,0
MANY-1a7g_1,MANY,1
MANY-1a7t_1,MANY,0
MANY-1a8m_1,MANY,1
MANY-1a9y_1,MANY,1
MANY-1aa1_10,MANY,1
MANY-1aa1_5,MANY,1
MANY-1aa6_2,MANY,0
MANY-1abi_1,MANY,1
MANY-1abr_1,MANY,1
MANY-1acc_1,MANY,0
MANY-1acv_2,MANY,0
MANY-1ad6_1,MANY,0
MANY-1ado_2,MANY,1
MANY-1ado_4,MANY,1
MANY-1ae1_3,MANY,1
MANY-1aew_1,MANY,1
MANY-1aew_2,MANY,1
MANY-1af7_1,MANY,0
MANY-1ag1_1,MANY,1
MANY-1agb_1,MANY,1
MANY-1agc_1,MANY,1
MANY-1agi_1,MANY,0
MANY-1agq_2,MANY,1
MANY-1ahh_2,MANY,1
MANY-1ail_1,MANY,1
MANY-1ajz_2,MANY,0
MANY-1ak5_1,MANY,1
MANY-1aly_1,MANY,1
MANY-1am2_2,MANY,0
MANY-1am9_2,MANY,1
MANY-1amk_1,MANY,1
MANY-1aop_1,MANY,0
MANY-1ap6_2,MANY,1
MANY-1apy_3,MANY,1
MANY-1ar4_2,MANY,1
MANY-1asv_1,MANY,1
MANY-1ats_1,MANY,0
MANY-1aug_2,MANY,1
MANY-1aug_4,MANY,1
MANY-1av5_1,MANY,1
MANY-1avf_3,MANY,0
MANY-1aw9_2,MANY,1
MANY-1axe_1,MANY,1
MANY-1aye_1,MANY,0
MANY-1aym_4,MANY,1
MANY-1az5_1,MANY,1
MANY-1azz_1,MANY,1
MANY-1azz_3,MANY,1
MANY-1b06_4,MANY,1
MANY-1b0u_1,MANY,0
MANY-1b11_1,MANY,1
MANY-1b2h_1,MANY,0
MANY-1b2p_1,MANY,1
MANY-1b33_15,MANY,1
MANY-1b33_6,MANY,1
MANY-1b4c_1,MANY,1
MANY-1b4p_1,MANY,1
MANY-1b6l_1,MANY,1
MANY-1b6w_1,MANY,1
MANY-1b78_2,MANY,0
MANY-1b7g_3,MANY,1
MANY-1b8d_1,MANY,1
MANY-1b8p_1,MANY,1
MANY-1b8p_2,MANY,0
MANY-1b8z_1,MANY,1
MANY-1b9d_1,MANY,1
MANY-1b9v_1,MANY,1
MANY-1bai_1,MANY,1
MANY-1bbr_4,MANY,1
MANY-1bd8_1,MANY,0
MANY-1bdb_2,MANY,1
MANY-1bdm_1,MANY,1
MANY-1be4_2,MANY,1
MANY-1ben_1,MANY,1
MANY-1bet_1,MANY,1
MANY-1bg2_1,MANY,0
MANY-1bg6_2,MANY,0
MANY-1bg7_1,MANY,1
MANY-1bgc_1,MANY,0
MANY-1bgv_1,MANY,1
MANY-1bgv_2,MANY,1
MANY-1bhf_1,MANY,0
MANY-1bhl_1,MANY,1
MANY-1bhx_2,MANY,1
MANY-1bi0_1,MANY,0
MANY-1bj1_3,MANY,1
MANY-1bj7_1,MANY,0
MANY-1bji_1,MANY,1
MANY-1bjp_3,MANY,1
MANY-1bjp_5,MANY,1
MANY-1bk4_2,MANY,1
MANY-1bll_1,MANY,1
MANY-1bll_2,MANY,1
MANY-1bnc_1,MANY,1
MANY-1bnd_1,MANY,1
MANY-1bp1_2,MANY,0
MANY-1bpj_1,MANY,1
MANY-1br9_2,MANY,0
MANY-1brb_1,MANY,1
MANY-1brw_1,MANY,1
MANY-1bsg_1,MANY,0
MANY-1bsl_1,MANY,1
MANY-1btc_1,MANY,0
MANY-1bth_1,MANY,1
MANY-1bu6_2,MANY,1
MANY-1buo_1,MANY,1
MANY-1bv9_1,MANY,1
MANY-1bvq_1,MANY,1
MANY-1bws_1,MANY,1
MANY-1bwv_13,MANY,1
MANY-1bwv_4,MANY,1
MANY-1bxe_1,MANY,0
MANY-1bxk_1,MANY,1
MANY-1by9_1,MANY,1
MANY-1byl_1,MANY,1
MANY-1bzd_1,MANY,1
MANY-1bzx_1,MANY,1
MANY-1c3c_3,MANY,1
MANY-1c3c_4,MANY,1
MANY-1c3d_1,MANY,0
MANY-1c3v_1,MANY,1
MANY-1c3v_3,MANY,1
MANY-1c44_1,MANY,0
MANY-1c7n_3,MANY,1
MANY-1c8z_1,MANY,0
MANY-1c9y_1,MANY,1
MANY-1cb8_1,MANY,0
MANY-1cbf_2,MANY,0
MANY-1cbg_2,MANY,0
MANY-1cdo_1,MANY,1
MANY-1cew_1,MANY,0
MANY-1cf2_2,MANY,1
MANY-1cfr_2,MANY,0
MANY-1cgq_2,MANY,1
MANY-1cgt_1,MANY,0
MANY-1chd_1,MANY,0
MANY-1chq_4,MANY,1
MANY-1chu_2,MANY,0
MANY-1ci1_1,MANY,1
MANY-1ci4_1,MANY,1
MANY-1ciq_1,MANY,1
MANY-1ciy_1,MANY,0
MANY-1cl1_3,MANY,1
MANY-1cl1_4,MANY,1
MANY-1clc_1,MANY,0
MANY-1cm0_1,MANY,0
MANY-1cm7_2,MANY,0
MANY-1cns_1,MANY,0
MANY-1cnv_1,MANY,0
MANY-1co7_1,MANY,1
MANY-1coj_3,MANY,1
MANY-1cp2_1,MANY,1
MANY-1cpc_4,MANY,1
MANY-1crw_1,MANY,1
MANY-1crw_2,MANY,1
MANY-1cs1_3,MANY,1
MANY-1cs1_6,MANY,1
MANY-1cs6_1,MANY,0
MANY-1cse_1,MANY,1
MANY-1cvw_1,MANY,1
MANY-1cyd_2,MANY,1
MANY-1cz3_1,MANY,1
MANY-1cz8_3,MANY,1
MANY-1cza_2,MANY,0
MANY-1d09_2,MANY,1
MANY-1d0i_11,MANY,1
MANY-1d0i_5,MANY,1
MANY-1d1t_1,MANY,1
MANY-1d2m_2,MANY,0
MANY-1d3b_9,MANY,1
MANY-1d3d_1,MANY,1
MANY-1d4v_1,MANY,1
MANY-1d5n_1,MANY,1
MANY-1d5r_1,MANY,0
MANY-1d7o_1,MANY,1
MANY-1d7o_2,MANY,1
MANY-1d8c_1,MANY,0
MANY-1d9e_3,MANY,1
MANY-1dan_2,MANY,1
MANY-1db3_1,MANY,1
MANY-1dbd_1,MANY,1
MANY-1dbh_1,MANY,0
MANY-1dbq_1,MANY,1
MANY-1dc5_2,MANY,1
MANY-1dc5_3,MANY,1
MANY-1dc5_4,MANY,1
MANY-1dcd_1,MANY,1
MANY-1dce_3,MANY,0
MANY-1dci_2,MANY,1
MANY-1dco_3,MANY,1
MANY-1dcu_3,MANY,1
MANY-1de0_1,MANY,1
MANY-1df8_1,MANY,1
MANY-1dfa_2,MANY,0
MANY-1dfi_2,MANY,1
MANY-1dfi_4,MANY,1
MANY-1dg6_1,MANY,1
MANY-1dgf_6,MANY,1
MANY-1dhp_1,MANY,1
MANY-1dhr_1,MANY,1
MANY-1di7_1,MANY,1
MANY-1dk8_1,MANY,0
MANY-1dl2_2,MANY,0
MANY-1dof_5,MANY,1
MANY-1doh_2,MANY,1
MANY-1dok_1,MANY,1
MANY-1dos_2,MANY,0
MANY-1dp2_1,MANY,0
MANY-1dpe_1,MANY,0
MANY-1dpf_2,MANY,0
MANY-1dps_10,MANY,1
MANY-1dps_6,MANY,1
MANY-1dpt_3,MANY,1
MANY-1dq3_1,MANY,0
MANY-1dqs_1,MANY,1
MANY-1dqx_2,MANY,1
MANY-1drw_1,MANY,1
MANY-1drw_2,MANY,1
MANY-1dsx_3,MANY,1
MANY-1dt0_2,MANY,1
MANY-1dud_1,MANY,1
MANY-1dun_1,MANY,1
MANY-1duv_1,MANY,1
MANY-1dvj_2,MANY,1
MANY-1dyk_2,MANY,0
MANY-1dzt_1,MANY,1
MANY-1dzu_1,MANY,1
MANY-1e18_1,MANY,0
MANY-1e1l_1,MANY,0
MANY-1e20_1,MANY,1
MANY-1e25_1,MANY,0
MANY-1e3j_1,MANY,1
MANY-1e3w_2,MANY,1
MANY-1e58_2,MANY,0
MANY-1e5f_2,MANY,1
MANY-1e5f_3,MANY,1
MANY-1e5j_1,MANY,0
MANY-1e5s_2,MANY,0
MANY-1e6b_2,MANY,0
MANY-1e79_11,MANY,1
MANY-1e7w_1,MANY,1
MANY-1e8a_1,MANY,1
MANY-1e92_3,MANY,1
MANY-1e9i_2,MANY,1
MANY-1e9x_1,MANY,0
MANY-1ear_1,MANY,1
MANY-1eb1_1,MANY,1
MANY-1eb7_1,MANY,1
MANY-1eb7_2,MANY,0
MANY-1ecs_1,MANY,1
MANY-1edo_1,MANY,1
MANY-1edy_2,MANY,0
MANY-1eep_1,MANY,1
MANY-1ef8_3,MANY,1
MANY-1eg3_1,MANY,0
MANY-1eg9_1,MANY,1
MANY-1eg9_2,MANY,1
MANY-1eg9_3,MANY,1
MANY-1egd_4,MANY,1
MANY-1eh6_1,MANY,0
MANY-1ehw_1,MANY,1
MANY-1ej7_2,MANY,1
MANY-1ej7_3,MANY,1
MANY-1ejb_3,MANY,1
MANY-1ejm_2,MANY,1
MANY-1ek0_1,MANY,0
MANY-1ek6_1,MANY,1
MANY-1eke_1,MANY,0
MANY-1elj_1,MANY,0
MANY-1elk_1,MANY,0
MANY-1els_1,MANY,1
MANY-1elt_1,MANY,0
MANY-1emd_1,MANY,1
MANY-1eny_1,MANY,1
MANY-1eny_2,MANY,1
MANY-1ep0_1,MANY,1
MANY-1epu_1,MANY,0
MANY-1epx_2,MANY,1
MANY-1epx_3,MANY,1
MANY-1eqf_1,MANY,0
MANY-1eqm_1,MANY,0
MANY-1eqt_1,MANY,1
MANY-1eto_2,MANY,0
MANY-1ets_1,MANY,1
MANY-1eu8_1,MANY,0
MANY-1eum_1,MANY,1
MANY-1euo_1,MANY,0
MANY-1euz_1,MANY,1
MANY-1euz_8,MANY,1
MANY-1ev3_2,MANY,1
MANY-1ev6_4,MANY,1
MANY-1evr_4,MANY,1
MANY-1eye_2,MANY,0
MANY-1ezs_2,MANY,1
MANY-1ezv_1,MANY,1
MANY-1ezv_10,MANY,1
MANY-1ezv_11,MANY,1
MANY-1ezv_13,MANY,1
MANY-1ezv_19,MANY,1
MANY-1ezv_2,MANY,1
MANY-1ezv_3,MANY,1
MANY-1ezv_4,MANY,1
MANY-1ezv_5,MANY,1
MANY-1ezw_1,MANY,1
MANY-1f00_1,MANY,0
MANY-1f07_1,MANY,1
MANY-1f0r_1,MANY,1
MANY-1f1j_1,MANY,1
MANY-1f20_1,MANY,0
MANY-1f2e_1,MANY,1
MANY-1f2j_1,MANY,1
MANY-1f2j_2,MANY,1
MANY-1f3b_1,MANY,1
MANY-1f3c_1,MANY,1
MANY-1f3f_4,MANY,1
MANY-1f48_3,MANY,0
MANY-1f4q_1,MANY,1
MANY-1f52_12,MANY,1
MANY-1f74_1,MANY,1
MANY-1f7o_3,MANY,1
MANY-1f7s_2,MANY,0
MANY-1f7z_1,MANY,1
MANY-1f80_6,MANY,1
MANY-1f89_1,MANY,1
MANY-1f8f_1,MANY,1
MANY-1f99_1,MANY,1
MANY-1f99_7,MANY,1
MANY-1f9f_2,MANY,1
MANY-1f9p_2,MANY,0
MANY-1f9q_1,MANY,1
MANY-1fa6_1,MANY,1
MANY-1faj_1,MANY,1
MANY-1fak_3,MANY,1
MANY-1fba_2,MANY,1
MANY-1fba_4,MANY,1
MANY-1fbn_2,MANY,0
MANY-1fck_1,MANY,0
MANY-1fcz_1,MANY,0
MANY-1fdj_4,MANY,1
MANY-1fdj_5,MANY,1
MANY-1fdy_1,MANY,1
MANY-1ff9_2,MANY,0
MANY-1ffh_2,MANY,0
MANY-1ffy_1,MANY,0
MANY-1fha_1,MANY,1
MANY-1fha_2,MANY,1
MANY-1fi8_6,MANY,1
MANY-1fid_1,MANY,0
MANY-1fin_1,MANY,1
MANY-1fio_1,MANY,0
MANY-1fip_1,MANY,1
