pdb_code,binding_affinity,binding_free_energy
1a22,Kd=0.34nM,-12.908
1acb,Kd=0.2nM,-13.223
1ak4,Kd=17uM,-6.502
1an1,Ki=0.9nM,-12.332
1atn,Kd=0.45nM,-12.742
1ava,Ki=0.22nM,-13.166
1avx,Kd=60fM,-18.025
1avz,Kd=15.8uM,-6.546
1axi,Kd=14nM,-10.707
1ay7,Kd=1uM,-8.18
1b27,Kd=0.01pM,-19.086
1b2s,Kd=157pM,-13.366
1b2u,Kd=100nM,-9.543
1b3s,Kd=117pM,-13.54
1brs,Kd=13fM,-18.931
1buh,Kd=77nM,-9.698
1bvn,Ki=9pM,-15.059
1c9p,Ki=1.0nM,-12.27
1c9t,Ki=1.0nM,-12.27
1d6r,Kd=0.13nM,-13.478
1dfj,Ki=59fM,-18.035
1dhk,Ki=35pM,-14.255
1djs,Kd=41nM,-10.071
1dp5,Ki=0.9nM,-12.332
1dpj,Ki=3nM,-11.619
1dzb,Kd=520nM,-8.567
1e6e,Kd=0.86uM,-8.269
1e96,Kd=2.7uM,-7.592
1eaw,Kd=49.7pM,-14.047
1ees,Kd=20nM,-10.496
1efn,Kd=0.38uM,-8.753
1eja,Ki=1.0nM,-12.27
1emv,Kd=24fM,-18.568
1es0,IC50=0.08uM,-9.675
1f34,Kd=0.1nM,-13.633
1f3v,Kd=7.8uM,-6.964
1f5r,Ki=65uM,-5.708
1f7z,Ki=12.4uM,-6.689
1fc2,Kd=22.5nM,-10.426
1ffw,Kd=1.2uM,-8.072
1fle,Ki=6nM,-11.209
1fmo,Ki=2.3nM,-11.777
1fy8,Ki=9uM,-6.879
1g5j,Kd=0.6nM,-12.572
1g6v,Kd=72nM,-9.738
1g9i,Kd=0.12uM,-9.435
1gl0,Ki=0.8nM,-12.402
1gl1,Ki=0.13nM,-13.478
1gla,Kd=0.18uM,-9.195
1gng,Kd=39nM,-10.101
1grn,Kd=388nM,-8.74
1gua,Kd=40nM,-10.086
1gxd,Kd=5.2nM,-11.294
1h0t,Kd=6uM,-7.119
1h1v,Kd=23nM,-10.413
1h59,Kd=37nM,-10.132
1he8,Kd=2.5uM,-7.637
1i4e,Kd=0.12uM,-9.435
1i8l,Kd=0.2uM,-9.133
1ibr,Kd=0.3nM,-12.983
1j2j,Kd=1.4uM,-7.981
1j7v,Kd=35pM,-14.255
1jgn,Kd=0.35uM,-8.801
1jh4,Kd=1.5uM,-7.94
1jiw,Kd=4pM,-15.539
1jsp,Kd=50uM,-5.864
1jtd,Ki=27.2pM,-14.404
1k93,Kd=20nM,-10.496
1kac,Kd=14.8nM,-10.674
1kbh,Kd=34nM,-10.182
1ktk,Kd=20uM,-6.406
1ktz,Kd=290nM,-8.913
1kxp,Kd=1nM,-12.27
1kxt,Kd=235nM,-9.037
1l4d,Kd=196.6nM,-9.143
1l4z,Kd=196.6nM,-9.143
1l8c,Kd=7nM,-11.118
1ldt,Ki=1.8nM,-11.922
1lp1,Kd=2uM,-7.769
1lw6,Kd=2pM,-15.949
1lx5,Kd=1.2nM,-12.162
1lzw,Kd=0.33uM,-8.836
1m10,Kd=5.8nM,-11.229
1m5n,Kd=2.1nM,-11.83
1mah,Kd=25pM,-14.454
1mcv,Ki=98nM,-9.555
1mq8,Kd=3uM,-7.529
1mxe,Kd=1pM,-16.36
1mzw,Kd=1.97uM,-7.778
1nw9,Ki=0.013uM,-10.751
1nys,Kd=10nM,-10.906
1nyu,Kd=10nM,-10.906
1o9a,Kd=1uM,-8.18
1oey,Kd=4nM,-11.449
1op9,Kd=0.7nM,-12.481
1otr,Kd=155uM,-5.194
1oyh,Kd=42nM,-10.057
1ozs,Kd=31uM,-6.147
1p27,Kd=0.7nM,-12.481
1p69,Kd=76nM,-9.706
1p6a,Kd=35nM,-10.165
1p9d,Kd=12.9uM,-6.666
1pd7,Kd=0.3uM,-8.893
1pjm,Kd=180nM,-9.195
1pjn,Kd=22nM,-10.44
1pk1,Kd=54nM,-9.908
1ppe,Kd=3pM,-15.709
1psb,Kd=20uM,-6.406
1pvh,Kd=80nM,-9.675
1pxv,Ki=0.31nM,-12.963
1q0w,Kd=277uM,-4.85
1q5w,Kd=126uM,-5.316
1q68,Kd=400nM,-8.722
1q69,Kd=900nM,-8.242
1qa9,Kd=1uM,-8.18
1r0r,Kd=29.4pM,-14.358
1r8u,Kd=13nM,-10.751
1ri8,Kd=2.9nM,-11.639
1rjc,Kd=77pM,-13.788
1rkc,Kd=39nM,-10.101
1rke,Kd=50nM,-9.953
1rpq,IC50=0.032uM,-10.218
1ry7,Kd=0.23uM,-9.05
1s4y,Kd=6.87nM,-11.129
1sb0,Kd=15uM,-6.576
1shy,Kd=90nM,-9.605
1smf,Ki=0.12uM,-9.435
1sq0,Kd=30nM,-10.256
1sv0,Kd=11.1nM,-10.845
1syq,Kd=14.7nM,-10.678
1t01,Kd=39nM,-10.101
1t0p,Kd=25uM,-6.274
1t44,Kd=1uM,-8.18
1t5z,Kd=33uM,-6.11
1t63,Kd=15uM,-6.576
1t6b,Kd=0.4nM,-12.812
1ta3,Ki=9nM,-10.969
1tba,Kd=1nM,-12.27
1tdq,Kd=12nM,-10.798
1te1,Ki=3.4nM,-11.545
1th1,Kd=2.1nM,-11.83
1tlh,Kd=300uM,-4.803
1tm1,Ki=0.003nM,-15.709
1tm3,Ki=0.019nM,-14.616
1tm4,Ki=0.13nM,-13.478
1tm5,Ki=0.017nM,-14.682
1tm7,Ki=0.0033nM,-15.653
1to1,Ki=0.46nM,-12.729
1tzn,Kd=170pM,-13.319
1u0i,Kd=70nM,-9.754
1u0s,Kd=0.23uM,-9.05
1u5s,Kd=3mM,-3.439
1uel,Kd=3.4uM,-7.455
1ugh,IC50=12pM,-14.888
1ul1,Kd=60nM,-9.846
1us7,Kd=1.8uM,-7.832
1usu,Kd=3.3uM,-7.473
1usv,Kd=3.3uM,-7.473
1uug,Kd=1.3uM,-8.024
1v18,Kd=10nM,-10.906
1vet,Kd=12.8nM,-10.76
1veu,Kd=12.8nM,-10.76
1vg0,Kd=5nM,-11.317
1vrk,Kd=6.8nM,-11.135
1vyt,Kd=20nM,-10.496
1wa7,Kd=9.58uM,-6.842
1wa8,Kd=11nM,-10.85
1wlp,Kd=0.64uM,-8.444
